trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-41.68730115344621,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-118.35789616772851,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-225.82732061229433,"{0: 16, 1: 4, 2: 3, 3: 4, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,7,-81.85135970612535,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-149.37682283430937,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-99.18984551570567,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-160.03240858517407,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-64.0053070371296,"{0: 15, 1: 1, 2: 0, 3: 4, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,13,-10.362606109665922,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,2.933825184688123,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,13,-35.26006279552,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,5,-34.60849752961333,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-95.09153333245595,"{0: 16, 1: 0, 2: 7, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-72.79459098031295,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,11,-20.220363787607152,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,23,-0.5114734596616679,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-107.65019890774937,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,11,19.62858369520586,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-13.218813133867888,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-17.073486697050676,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,12,17.848836195483994,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,3,-31.971859681108086,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,-77.39922866420565,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,30.53070672672031,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-48.5926307184624,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-97.69336936234934,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,9,16.30333646780705,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,27.69479265995018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,10,16.062475955185903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-43.601111737832646,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
