trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5433905807657374}",25,0,-97.35747345372005,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.5419014940139564}",30,0,-71.08373723722903,"{0: 18, 1: 6, 2: 6, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.5404116583366201}",20,0,-33.89194135741353,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.5389211000054653}",20,0,-75.33613345739649,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5374298453437496}",20,4,-38.15886870884891,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.5359379207244088}",20,0,-77.52082836514012,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.5344453525682101}",20,12,-0.8276474739679491,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5329521673418951}",20,0,-76.54901188061092,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5314583915563169}",20,0,-39.885724621459346,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.5299640517645717}",25,0,-82.6159590691119,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.528469174560122}",25,0,-10.063484015980197,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5269737865749146}",25,0,-106.481220665526,"{0: 20, 1: 0, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.525477914477493}",20,0,-22.083112592823344,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.5239815849711044}",20,0,-91.07358866008654,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.5224848247918001}",20,0,-52.31346940779637,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.5209876607065324}",25,0,-114.16328604207436,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.5194901195112458}",30,0,-67.15021892411286,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.5179922280289649}",20,0,-32.07550665946029,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.5164940131078767}",20,0,-94.52434832960436,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.51499550161941}",25,18,-41.24974520833454,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
