trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-127.31435741572997,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-228.25060979677977,"{0: 11, 1: 1, 2: 7, 3: 4, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-138.94966802336407,"{0: 9, 1: 5, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,2,-100.06213273785765,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-240.25122645861026,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-76.73137676334677,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-145.8967321463142,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-107.94928546247858,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-271.44589408775306,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,11,-43.821907040447144,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-29.061341727041984,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-86.33139960549927,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-240.23770953278768,"{0: 11, 1: 2, 2: 6, 3: 3, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,14,-0.31412924006212517,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-49.848962170707104,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-123.16314886278448,"{0: 18, 1: 5, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-153.1031503786128,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-189.20453034785967,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-148.22933069982935,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-146.22365708357128,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-163.06831570622535,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-88.89008638915382,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,-44.0540985025188,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-119.27541295013005,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-124.90376311213855,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",30,0,-91.42974331633104,"{0: 20, 1: 6, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-106.1426667123768,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-84.59043103846821,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,17,-76.45049681963492,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-158.18665275768137,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
